epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr,epoch_time,best_val_acc,model_type,data_ratio,use_amp,use_strong_aug,seed
55,0.935223,0.824200,1.187043,0.729100,0.722561,0.0001381544,29.11,0.741500,cnn,0.1,True,False,42
56,0.920316,0.830800,1.122338,0.756500,0.755034,0.0001332350,28.92,0.756500,cnn,0.1,True,False,42
57,0.909723,0.832600,1.168285,0.743700,0.734601,0.0001283346,38.32,0.756500,cnn,0.1,True,False,42
58,0.902741,0.842800,1.155453,0.742100,0.737373,0.0001234584,34.46,0.756500,cnn,0.1,True,False,42
59,0.910027,0.833800,1.113701,0.760600,0.758246,0.0001186117,29.71,0.760600,cnn,0.1,True,False,42
60,0.885990,0.847600,1.202058,0.728100,0.731296,0.0001137999,28.30,0.760600,cnn,0.1,True,False,42
61,0.882967,0.853400,1.165110,0.744600,0.740093,0.0001090283,34.98,0.760600,cnn,0.1,True,False,42
62,0.884442,0.848400,1.233520,0.725400,0.721163,0.0001043020,30.92,0.760600,cnn,0.1,True,False,42
63,0.876351,0.853000,1.101903,0.764900,0.763957,0.0000996262,24.37,0.764900,cnn,0.1,True,False,42
64,0.871579,0.854800,1.105890,0.764500,0.759872,0.0000950060,31.21,0.764900,cnn,0.1,True,False,42
65,0.869832,0.859400,1.155360,0.754400,0.745944,0.0000904465,29.58,0.764900,cnn,0.1,True,False,42
66,0.854366,0.862000,1.115729,0.760500,0.755730,0.0000859527,26.06,0.764900,cnn,0.1,True,False,42
67,0.857371,0.862200,1.111892,0.764600,0.762263,0.0000815295,27.64,0.764900,cnn,0.1,True,False,42
68,0.843689,0.873800,1.089811,0.768700,0.767985,0.0000771817,31.37,0.768700,cnn,0.1,True,False,42
69,0.848065,0.869600,1.126292,0.762400,0.755744,0.0000729140,29.79,0.768700,cnn,0.1,True,False,42
70,0.843260,0.872600,1.095778,0.772400,0.772206,0.0000687313,26.58,0.772400,cnn,0.1,True,False,42
71,0.836845,0.873000,1.123665,0.763400,0.761202,0.0000646379,25.63,0.772400,cnn,0.1,True,False,42
72,0.831410,0.879000,1.081148,0.777500,0.779250,0.0000606384,28.33,0.777500,cnn,0.1,True,False,42
73,0.830794,0.880600,1.092209,0.774200,0.771136,0.0000567371,30.90,0.777500,cnn,0.1,True,False,42
74,0.825219,0.883000,1.059940,0.785500,0.783835,0.0000529384,29.76,0.785500,cnn,0.1,True,False,42
75,0.817860,0.883400,1.103283,0.775700,0.772520,0.0000492464,30.88,0.785500,cnn,0.1,True,False,42
76,0.817306,0.880600,1.144446,0.749000,0.748367,0.0000456651,29.43,0.785500,cnn,0.1,True,False,42
77,0.806218,0.895200,1.070846,0.783100,0.780780,0.0000421984,24.98,0.785500,cnn,0.1,True,False,42
78,0.805405,0.885000,1.079485,0.778000,0.776945,0.0000388502,20.09,0.785500,cnn,0.1,True,False,42
79,0.805961,0.891600,1.072419,0.780000,0.779685,0.0000356240,27.32,0.785500,cnn,0.1,True,False,42
80,0.800887,0.893600,1.067546,0.784400,0.783495,0.0000325235,30.85,0.785500,cnn,0.1,True,False,42
81,0.802085,0.891000,1.066887,0.783400,0.784203,0.0000295520,28.70,0.785500,cnn,0.1,True,False,42
82,0.789519,0.896600,1.069332,0.780700,0.779389,0.0000267127,54.83,0.785500,cnn,0.1,True,False,42
83,0.800977,0.891400,1.069493,0.784100,0.783009,0.0000240088,45.70,0.785500,cnn,0.1,True,False,42
84,0.798376,0.895000,1.065681,0.781700,0.781251,0.0000214432,43.66,0.785500,cnn,0.1,True,False,42
85,0.794642,0.893000,1.057096,0.785900,0.784219,0.0000190187,48.05,0.785900,cnn,0.1,True,False,42
86,0.785124,0.904000,1.056579,0.786600,0.784599,0.0000167380,53.29,0.786600,cnn,0.1,True,False,42
87,0.788366,0.898400,1.059937,0.785100,0.783994,0.0000146035,49.70,0.786600,cnn,0.1,True,False,42
88,0.786080,0.902800,1.051051,0.791600,0.790674,0.0000126177,34.73,0.791600,cnn,0.1,True,False,42
