epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr,epoch_time,best_val_acc,model_type,data_ratio,use_amp,use_strong_aug,seed
1,1.954261,0.305800,1.739581,0.407800,0.401761,0.0000600000,195.10,0.407800,cnn,1.0,True,False,42
2,1.701649,0.433600,1.610462,0.508500,0.508250,0.0001200000,186.35,0.508500,cnn,1.0,True,False,42
3,1.540967,0.518260,1.360399,0.614300,0.607185,0.0001800000,235.50,0.614300,cnn,1.0,True,False,42
4,1.412605,0.586060,1.294013,0.652100,0.650401,0.0002400000,213.12,0.652100,cnn,1.0,True,False,42
5,1.316819,0.636200,1.330991,0.643200,0.650216,0.0003000000,312.23,0.652100,cnn,1.0,True,False,42
6,1.213880,0.686140,1.189255,0.703700,0.706246,0.0002999183,299.17,0.703700,cnn,1.0,True,False,42
7,1.141833,0.720220,1.165470,0.727500,0.726462,0.0002996731,183.00,0.727500,cnn,1.0,True,False,42
8,1.087078,0.748280,1.109973,0.747100,0.748583,0.0002992649,197.28,0.747100,cnn,1.0,True,False,42
9,1.048657,0.762340,1.192448,0.717300,0.715634,0.0002986940,320.74,0.747100,cnn,1.0,True,False,42
10,1.016866,0.779040,1.035337,0.772100,0.774748,0.0002979610,320.11,0.772100,cnn,1.0,True,False,42
11,0.987214,0.793360,0.968912,0.803700,0.802802,0.0002970668,207.40,0.803700,cnn,1.0,True,False,42
12,0.961353,0.803880,1.090550,0.752100,0.747825,0.0002960123,163.46,0.803700,cnn,1.0,True,False,42
13,0.941920,0.813400,0.906698,0.836100,0.833133,0.0002947987,320.04,0.836100,cnn,1.0,True,False,42
14,0.924206,0.820720,0.943884,0.816700,0.817748,0.0002934273,294.67,0.836100,cnn,1.0,True,False,42
15,0.906149,0.830680,0.927820,0.829400,0.828317,0.0002918997,197.60,0.836100,cnn,1.0,True,False,42
16,0.895184,0.834440,0.921305,0.820900,0.823974,0.0002902174,192.13,0.836100,cnn,1.0,True,False,42
17,0.879404,0.841180,0.954794,0.806600,0.811332,0.0002883823,331.31,0.836100,cnn,1.0,True,False,42
18,0.861307,0.850900,0.866726,0.849800,0.849719,0.0002863965,283.26,0.849800,cnn,1.0,True,False,42
19,0.851309,0.854920,0.892897,0.839700,0.841039,0.0002842620,222.99,0.849800,cnn,1.0,True,False,42
20,0.841183,0.859580,0.819763,0.870400,0.869310,0.0002819813,202.03,0.870400,cnn,1.0,True,False,42
21,0.830418,0.864120,0.927436,0.818500,0.823242,0.0002795568,328.33,0.870400,cnn,1.0,True,False,42
22,0.822431,0.868080,0.834587,0.860400,0.860513,0.0002769912,340.57,0.870400,cnn,1.0,True,False,42
23,0.807589,0.874840,0.812380,0.866900,0.865141,0.0002742873,293.25,0.870400,cnn,1.0,True,False,42
24,0.800968,0.877940,0.798084,0.878300,0.878105,0.0002714480,155.64,0.878300,cnn,1.0,True,False,42
25,0.791711,0.881040,0.872731,0.844400,0.848377,0.0002684765,284.92,0.878300,cnn,1.0,True,False,42
26,0.791232,0.880980,0.799344,0.875600,0.876813,0.0002653760,181.39,0.878300,cnn,1.0,True,False,42
27,0.779030,0.886940,0.816671,0.867100,0.865351,0.0002621498,167.90,0.878300,cnn,1.0,True,False,42
28,0.770478,0.889660,0.773352,0.891400,0.891340,0.0002588016,215.32,0.891400,cnn,1.0,True,False,42
29,0.766639,0.891400,0.825769,0.863500,0.865401,0.0002553349,195.01,0.891400,cnn,1.0,True,False,42
30,0.755995,0.897020,0.810170,0.874500,0.874135,0.0002517536,316.56,0.891400,cnn,1.0,True,False,42
31,0.749815,0.898400,0.764452,0.894600,0.895499,0.0002480616,247.45,0.894600,cnn,1.0,True,False,42
32,0.740797,0.903040,0.782776,0.884700,0.886074,0.0002442629,319.30,0.894600,cnn,1.0,True,False,42
33,0.734610,0.907040,0.771174,0.890900,0.890639,0.0002403616,278.60,0.894600,cnn,1.0,True,False,42
34,0.725857,0.911400,0.755129,0.896400,0.897156,0.0002363621,253.58,0.896400,cnn,1.0,True,False,42
35,0.725993,0.910280,0.767700,0.890300,0.890424,0.0002322687,266.02,0.896400,cnn,1.0,True,False,42
36,0.716215,0.915060,0.758600,0.895400,0.895836,0.0002280860,258.41,0.896400,cnn,1.0,True,False,42
37,0.711013,0.916140,0.849306,0.857600,0.858644,0.0002238183,260.82,0.896400,cnn,1.0,True,False,42
38,0.707019,0.918540,0.777853,0.888000,0.885465,0.0002194705,265.56,0.896400,cnn,1.0,True,False,42
39,0.700059,0.921380,0.755771,0.893100,0.894392,0.0002150473,262.60,0.896400,cnn,1.0,True,False,42
40,0.695442,0.922960,0.777572,0.884700,0.884889,0.0002105535,267.04,0.896400,cnn,1.0,True,False,42
41,0.692613,0.925840,0.760900,0.893800,0.895362,0.0002059940,258.37,0.896400,cnn,1.0,True,False,42
42,0.688158,0.926780,0.761610,0.890600,0.891488,0.0002013738,212.72,0.896400,cnn,1.0,True,False,42
43,0.681978,0.929620,0.745738,0.899600,0.900469,0.0001966980,276.27,0.899600,cnn,1.0,True,False,42
44,0.680433,0.931280,0.738864,0.901000,0.900323,0.0001919717,290.10,0.901000,cnn,1.0,True,False,42
45,0.677538,0.931780,0.791502,0.886300,0.884116,0.0001872001,260.81,0.901000,cnn,1.0,True,False,42
46,0.670884,0.934820,0.735882,0.904600,0.904934,0.0001823883,218.50,0.904600,cnn,1.0,True,False,42
47,0.668769,0.936320,0.742952,0.902900,0.903689,0.0001775416,230.66,0.904600,cnn,1.0,True,False,42
48,0.662600,0.937200,0.742493,0.899400,0.899561,0.0001726654,270.95,0.904600,cnn,1.0,True,False,42
